name,objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
0,5.87731E+17,13.73550322,-1.43E-03,24.229084,22.687136,21.069244,20.547176,19.815645
1,5.87731E+17,13.73550322,-1.43E-03,24.229084,22.687136,21.069244,20.547176,19.815645
2,5.87732E+17,23.49022386,9.91E-04,16.942165,15.775067,15.357831,15.232162,15.195777
3,5.88016E+17,14.73174285,2.28E-03,24.601208,23.886108,22.127542,20.948669,19.841417
4,5.87731E+17,13.73550322,-1.43E-03,24.229084,22.687136,21.069244,20.547176,19.815645
5,5.88016E+17,15.26633876,1.55E-03,26.199913,26.076916,25.766064,25.078136,23.136208
6,5.87731E+17,13.73550322,-1.43E-03,24.229084,22.687136,21.069244,20.547176,19.815645
7,5.87732E+17,23.56386836,2.79E-03,23.704504,25.492958,22.742924,21.043205,20.113539
8,5.87732E+17,18.81317579,2.36E-03,25.730288,25.128056,24.731438,24.31712,20.898909
9,5.87731E+17,9.03074351,1.67E-03,23.205736,23.086945,22.700474,22.120907,21.144247
10,5.87731E+17,5.76531687,1.22E-03,22.524178,21.27644,19.944353,19.437302,19.167078
11,5.88016E+17,13.72823907,4.25E-03,-9999,-9999,-9999,-9999,-9999
12,5.87731E+17,5.7663167,1.92E-03,26.447008,22.373281,21.127041,20.430412,20.27664
13,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
14,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
15,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
16,5.88016E+17,11.27071073,1.31E-03,25.420376,25.248089,22.641451,23.491556,21.184128
17,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
18,5.88016E+17,13.71866598,2.06E-03,23.866362,23.53957,22.818403,21.637226,20.860395
19,5.87731E+17,12.53633478,5.60E-04,23.133266,23.183882,26.218599,24.593838,22.161098
20,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
21,5.88016E+17,22.30986709,5.07E-03,22.624237,23.359951,21.798761,21.058136,20.119707
22,5.87732E+17,18.27058384,4.09E-03,22.452946,23.358135,22.633665,21.377899,20.357878
23,5.88016E+17,18.27992537,3.88E-04,21.45879,21.044914,19.634733,19.05102,18.584246
24,5.87732E+17,23.52832036,4.50E-03,23.833408,23.215117,21.050701,20.171709,19.786369
25,5.87732E+17,21.48208691,7.74E-04,23.319345,22.978392,22.521803,22.684458,21.555239
26,5.87731E+17,8.93952815,4.35E-03,24.757225,23.063259,21.958216,21.446815,21.318279
27,5.87732E+17,22.30611,4.60E-03,24.056807,21.087107,19.429047,18.854147,18.426241
28,5.87732E+17,22.30611,4.60E-03,24.056807,21.087107,19.429047,18.854147,18.426241
29,5.87731E+17,5.7663167,1.92E-03,26.447008,22.373281,21.127041,20.430412,20.27664
30,5.88016E+17,5.28196542,4.14E-03,18.722214,18.109219,18.98752,20.158175,26.442038
31,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
32,5.87731E+17,5.26889964,4.86E-03,25.066084,26.265879,22.392256,21.907679,23.271774
33,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
34,5.87731E+17,5.26889964,4.86E-03,25.066084,26.265879,22.392256,21.907679,23.271774
35,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
36,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
37,5.87731E+17,5.26889964,4.86E-03,25.066084,26.265879,22.392256,21.907679,23.271774
38,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
39,5.87731E+17,12.54904729,4.02E-04,25.239353,26.013199,25.185984,22.397749,22.51128
40,5.87731E+17,9.15011268,3.72E-03,-9999,-9999,20.915194,-9999,-9999
41,5.88016E+17,14.74545781,4.00E-03,23.659994,23.075703,21.977623,22.338921,22.030893
42,5.88016E+17,13.73077938,5.13E-03,-9999,-9999,-9999,-9999,-9999
43,5.88016E+17,18.28730329,6.09E-03,24.536661,24.63913,22.853945,21.66921,21.645164
44,5.88016E+17,5.78917783,6.60E-03,21.91474,22.682615,22.68152,23.38262,23.628561
45,5.87731E+17,12.5573505,5.11E-03,20.342501,18.589672,17.81193,17.588566,17.476086
46,5.87732E+17,23.45549628,5.37E-03,-9999,-9999,-9999,-9999,-9999
47,5.87731E+17,8.93244047,2.08E-03,24.645271,22.996325,22.659433,22.234533,22.065647
48,5.87732E+17,23.54648494,2.96E-04,25.376015,22.699852,21.904627,21.171268,20.888538
49,5.88016E+17,10.48302702,5.29E-03,23.550446,23.631668,21.464445,21.028975,21.115734
50,5.88016E+17,14.59427142,5.68E-03,24.45199,22.15449,22.203325,21.759193,22.263493
51,5.87731E+17,13.7112904,6.24E-03,-9999,-9999,-9999,-9999,-9999
52,5.88016E+17,23.10012758,9.14E-03,23.5273,23.567604,22.650883,22.240082,22.81723
53,5.88016E+17,9.04103048,8.15E-03,25.558144,23.324532,22.647821,21.139477,19.981144
54,5.88016E+17,23.57005444,4.95E-03,25.417501,24.468636,24.758648,21.787832,21.382269
55,5.88016E+17,18.86400351,9.86E-03,25.076101,22.912354,25.220509,25.353436,23.071791
56,5.87731E+17,13.7112904,6.24E-03,-9999,-9999,-9999,-9999,-9999
57,5.88016E+17,18.86400351,9.86E-03,25.076101,22.912354,25.220509,25.353436,23.071791
58,5.88016E+17,5.26749829,8.44E-03,26.114382,22.591595,21.782656,21.389242,21.610731
59,5.88016E+17,9.04103048,8.15E-03,25.558144,23.324532,22.647821,21.139477,19.981144
60,5.87731E+17,10.31015989,4.20E-03,23.408792,22.412634,24.621048,20.091244,22.85531
61,5.88016E+17,15.2586152,7.31E-03,23.599949,21.972441,21.415173,20.660053,23.54245
62,5.87732E+17,18.8548662,4.80E-03,-9999,22.91087,22.117416,22.239941,21.384325
63,5.87731E+17,10.31015989,4.20E-03,23.408792,22.412634,24.621048,20.091244,22.85531
64,5.88016E+17,5.26749829,8.44E-03,26.114382,22.591595,21.782656,21.389242,21.610731
65,5.88016E+17,23.51317996,8.65E-03,25.67688,22.54701,21.327246,21.106945,20.284536
66,5.88016E+17,9.04103048,8.15E-03,25.558144,23.324532,22.647821,21.139477,19.981144
67,5.88016E+17,23.51317996,8.65E-03,25.67688,22.54701,21.327246,21.106945,20.284536
68,5.87732E+17,18.8548662,4.80E-03,-9999,22.91087,22.117416,22.239941,21.384325
